course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
AFASW4005,"Frantz Fanon: Disenchantment, Existential Self-Revision, and Resistance",AFAS,,SAS,,001,15975,Vivaldi Jean-Marie,9,17,O,W 12:10PM-2:00PM,12:10,14:00
AFASG4004,Turn the TV Off: Black Performance Studies,AFAS,,SAS,,001,15974,Johanna F Almiron,17,17,F,R 12:10PM-2:00PM,12:10,14:00
AFASW3940,SENIOR THESIS SEMINAR,AFAS,,SAS,,001,11372,Kellie Jones,9,15,O,T 2:10PM-4:00PM,14:10,16:00
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,001,10505,Frank Guridy,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,002,10506,Brandi Summers,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,003,10507,Jafari S Allen,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,004,11748,Nyle Fort,,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,005,11750,Rachel Grace Newman,,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,006,11752,Farah Griffin,,3,O,,,
AFASC3011,Spirit of Justice,AFAS,,SAS,,001,17123,Nyle Fort,18,18,F,M 10:10AM-12:00PM,10:10,12:00
AFASW3004,Introduction to Black Geographies,AFAS,,SAS,,001,10496,Brandi Summers,15,15,F,W 2:10PM-4:00PM,14:10,16:00
AFASC3001,SING A BLACK GIRL'S SONG:  THE NON FICTION WRITING OF NTOZAKE SHANGE,AFAS,,SAS,,001,10540,Edwidge Danticat,3,16,O,R 2:10PM-4:00PM,14:10,16:00
AFASW1003,Blackness and Frenchness: A Radical Genealogy,AFAS,,SAS,,001,10536,Veronique Charles,18,18,F,M 12:10PM-2:00PM,12:10,14:00
AHISW3451,Latinx Artists Coast to Coast,AHIS,,SAS,,001,13779,"Kellie Jones, Rachel Grace Newman",10,30,O,W 4:10PM-6:00PM,16:10,18:00
AHISW3451,Latinx Artists Coast to Coast,AHIS,,SAS,,002,15977,"Kellie Jones, Rachel Grace Newman",12,30,O,W 4:10PM-6:00PM,16:10,18:00
AFASG6999,THESIS RESEARCH-GRADUATE,AFAS,,SAS,,001,10504,Brandi Summers,1,6,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,001,10509,Brandi Summers,1,5,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,002,10510,Jafari S Allen,,5,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,003,10511,Farah Griffin,,5,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,004,11753,Frank Guridy,,3,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,005,11758,Nyle Fort,,3,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,006,11781,Rachel Grace Newman,,3,O,,,
AFASG4080,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,004,11741,Nyle Fort,7,17,O,M 2:10PM-4:00PM,14:10,16:00
AFASG4080,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,005,13264,Erica Hunt,1,1,F,R 4:10PM-6:00PM,16:10,18:00
AFASW4006,The African American Prophetic Political Tradition  from David Walker to Barack Obama,AFAS,,SAS,,001,15976,Obery Hendricks,6,,F,T 12:10PM-2:00PM,12:10,14:00
AFAMW4007,Writing in the Subjunctive Mood: Poetry in the Black Archive,AFAM,,SAS,,001,18053,Erica Hunt,,18,O,R 4:10PM-6:00PM,16:10,18:00
AFRSBC3552,BLACK WOMEN STYLE&PERFRMNCE,AFRS,,BCOL,,001,00607,Shirley Taylor,2,15,O,F 10:10AM-12:00PM,10:10,12:00
AFRSBC3532,ROMARE BEARDEN:HOME IS HARLEM,AFRS,,BCOL,,001,00609,Diedra Harris-Kelley,12,16,O,W 10:10AM-12:00PM,10:10,12:00
AFRSBC3083,Black Women's Freedom Narratives,AFRS,,BCOL,,001,00757,Celia E Naylor,7,15,O,W 4:10PM-6:00PM,16:10,18:00
AFRSBC2046,"Introduction to Afro-diasporic Religions,",AFRS,,BCOL,,001,00756,Aurelis Troncoso,21,25,O,TR 11:40AM-12:55PM,11:40,12:55
AFRSBC2006,INTRODUCTION AFRICAN DIASPORA,AFRS,,BCOL,,002,00755,Celia E Naylor,13,25,O,MW 1:10PM-2:25PM,13:10,14:25
AFRSBC2005,CARIBBEAN CULTURE & SOCIETIES,AFRS,,BCOL,,002,00754,Maja Horn,25,25,F,MW 10:10AM-11:25AM,10:10,11:25
AFENBC3817,Black Shakespeare,AFEN,,BCOL,,002,00753,Kim F Hall,7,15,O,T 4:10PM-6:00PM,16:10,18:00
AFENBC3196,HARLEM RENAISSANCE LITERATURE,AFEN,,BCOL,,001,00605,Maleda Belilgne,19,23,O,TR 6:10PM-7:25PM,18:10,19:25
AFRSBC3565,Art & Culture in Harlem,AFRS,,BCOL,,002,00931,Shirley Taylor,11,15,O,F 12:10PM-2:00PM,12:10,14:00
AFENBC3135,Zora Neale Hurston: A Writing Life,AFEN,,BCOL,,001,00606,Monica L Miller,22,22,F,T 2:10PM-4:00PM,14:10,16:00
AHISC3002,SENIOR THESIS,AHIS,,SAS,,001,13756,Branden W Joseph,,12,O,M 2:10PM-4:00PM,14:10,16:00
AHISW3000,INTRO LIT/METHODS OF ART HIST,AHIS,,SAS,,001,13754,Michael Cole,4,12,O,R 2:10PM-4:00PM,14:10,16:00
AHISW3000,INTRO LIT/METHODS OF ART HIST,AHIS,,SAS,,002,13755,Avinoam Shalem,9,12,O,M 4:10PM-6:00PM,16:10,18:00
AHISW2622,"Introduction to East Asian Art: China, Japan, and Korea",AHIS,,SAS,,001,13749,Jin Xu,65,65,F,MW 4:10PM-5:25PM,16:10,17:25
AHISW2602,ARTS OF JAPAN,AHIS,,SAS,,001,13743,Matthew P Mckelway,25,50,O,MW 2:40PM-3:55PM,14:40,15:55
AHISW2400,Nineteenth-Century Art in Europe,AHIS,,SAS,,001,13742,Meredith Gamer,66,65,F,MW 10:10AM-11:25AM,10:10,11:25
AHISW2317,Renaissance Architecture,AHIS,,SAS,,001,13741,Michael J Waters,70,65,F,TR 2:40PM-3:55PM,14:40,15:55
AHUMV2604,"ARTS OF CHINA, JAPAN AND KOREA",AHUM,,SAS,,001,13791,Yi-Bang Li,23,22,F,MW 11:40AM-12:55PM,11:40,12:55
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,001,17609,Alexander Alberro,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,002,17610,Zainab Bahrani,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,003,17611,Frederique Baumgartner,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,004,17612,Barry G Bergdoll,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,005,17613,Diane Bodart,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,006,17614,Julia Bryan-Wilson,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,007,17615,Gregory Bryda,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,008,17616,Zeynep Celik Alexander,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,009,17617,Michael Cole,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,010,17618,Jonathan K Crary,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,011,17619,Francesco De Angelis,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,012,17620,Susanna C Berger,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,014,17621,Noam M Elcott,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,016,17623,Meredith Gamer,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,017,17624,Anne Higonnet,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,018,17625,Elizabeth Hutchinson,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,019,17626,Kellie Jones,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,020,17627,Branden W Joseph,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,021,17628,Subhashini Kaligotla,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,022,17629,Holger A Klein,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,023,17630,Rosalind Krauss,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,024,17631,Janet L Kraynak,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,025,17632,Matthew P Mckelway,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,026,17633,Ioannis Mylonopoulos,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,027,17634,Eleonora Pistis,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,028,17635,John Rajchman,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,029,17636,Jonathan Reynolds,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,030,17637,Avinoam Shalem,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,031,17638,Zoe S Strother,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,032,17639,Lisa Trever,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,033,17640,Michael J Waters,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,034,17641,Jin Xu,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,001,17577,Alexander Alberro,1,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,002,17578,Zainab Bahrani,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,003,17579,Frederique Baumgartner,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,004,17580,Barry G Bergdoll,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,005,17581,Diane Bodart,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,006,17582,Julia Bryan-Wilson,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,007,17583,Gregory Bryda,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,008,17584,Zeynep Celik Alexander,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,009,17585,Michael Cole,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,010,17586,Jonathan K Crary,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,011,17587,Francesco De Angelis,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,012,17588,Susanna C Berger,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,014,17589,Noam M Elcott,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,016,17590,Meredith Gamer,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,017,17591,Anne Higonnet,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,018,17592,Elizabeth Hutchinson,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,019,17593,Kellie Jones,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,020,17594,Branden W Joseph,1,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,021,17595,Subhashini Kaligotla,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,022,17596,Holger A Klein,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,023,17597,Rosalind Krauss,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,024,17598,Janet L Kraynak,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,025,17599,Matthew P Mckelway,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,026,17600,Ioannis Mylonopoulos,2,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,027,17601,Eleonora Pistis,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,028,17602,John Rajchman,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,029,17603,Jonathan Reynolds,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,030,17604,Avinoam Shalem,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,031,17605,Zoe S Strother,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,032,17606,Lisa Trever,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,033,17607,Michael J Waters,,998,O,,,
AHISG9000,M.A. THESIS,AHIS,,SAS,,034,17608,Jin Xu,,998,O,,,
AHISG8863,"Building, Rebuilding, and Moving Temples in Medieval Japan",AHIS,,SAS,,001,18029,Matthew P Mckelway,,12,O,T 4:10PM-6:00PM,16:10,18:00
AHISG8496,Art History and the Archive,AHIS,,SAS,,001,13790,Meredith Gamer,,12,O,W 2:10PM-4:00PM,14:10,16:00
AHISW2315,Northern Renaissance Art,AHIS,,SAS,,001,13740,Susanna C Berger,65,65,F,TR 10:10AM-11:25AM,10:10,11:25
AHISG8374,The Rise of Architectural Drawing,AHIS,,SAS,,001,16718,Michael J Waters,1,12,O,R 10:10AM-12:00PM,10:10,12:00
AHISG8031,Aesthetics,AHIS,,SAS,,001,13789,Susanna C Berger,,12,O,T 2:10PM-4:00PM,14:10,16:00
AHISG8026,How to Study Clothing?,AHIS,,SAS,,001,13788,Anne Higonnet,11,12,O,T 10:10AM-12:00PM,10:10,12:00
AHISG6715,Mural Art and the Ancient Americas,AHIS,,SAS,,001,17846,Lisa Trever,2,25,O,R 4:10PM-6:00PM,16:10,18:00
AHISG6413,The Real Picasso,AHIS,,SAS,,001,13787,Rosalind Krauss,3,30,O,W 2:10PM-4:00PM,14:10,16:00
AHISG6408,ORIGINS OF MOD VISUAL CULTURE,AHIS,,SAS,,001,13786,Jonathan K Crary,27,35,O,W 4:10PM-6:00PM,16:10,18:00
AHISG5006,MODA THESIS PREP,AHIS,,SAS,,001,13785,Janet L Kraynak,,12,O,T 4:10PM-6:00PM,16:10,18:00
AHISG5003,MATERIALS & PRACTICES-ART HIST,AHIS,,SAS,,001,13784,Frederique Baumgartner,5,12,O,R 12:10PM-2:00PM,12:10,14:00
AHISG5001,CURATORIAL COLLOQUIUM,AHIS,,SAS,,001,13783,Janet L Kraynak,,12,O,R 2:10PM-4:00PM,14:10,16:00
AHISW4741,Art and Theory in a Global Context,AHIS,,SAS,,001,13782,John Rajchman,8,30,O,M 4:10PM-6:00PM,16:10,18:00
AHISV2109,Roman Art & Architecture,AHIS,,SAS,,001,13739,Blair Fowlkes Childs,65,65,F,TR 11:40AM-12:55PM,11:40,12:55
AHISW4592,Bodies and Body Cultures,AHIS,,SAS,,001,16716,Subhashini Kaligotla,,12,O,R 2:10PM-4:00PM,14:10,16:00
AHISW4589,"Orientalism, Art, and Architecture: From Representation to Display",AHIS,,SAS,,001,17519,Iheb Guermazi,4,12,O,W 12:10PM-2:00PM,12:10,14:00
AHISW4577,"Constructs of Solidarity: Architecture and Urban Culture in Latin America, 1950-2010",AHIS,,SAS,,001,16713,Marta J Caldeira,,12,O,T 12:10PM-2:00PM,12:10,14:00
AHISW4558,Making Modern New York,AHIS,,SAS,,001,16712,Carol A Willis,5,12,O,M 12:10PM-2:00PM,12:10,14:00
AHISW4519,Greek Art and Architecture Through the Eyes of Pausanias,AHIS,,SAS,,001,18028,Ioannis Mylonopoulos,,12,O,M 4:10PM-6:00PM,16:10,18:00
AHISW4110,MODERN JAPANESE ARCHITECTURE,AHIS,,SAS,,001,13781,Jonathan Reynolds,26,65,O,MW 10:10AM-11:25AM,10:10,11:25
AHISW4023,"Medieval Art II: Castles, Cathedral, and Court",AHIS,,SAS,,001,13780,Gregory Bryda,33,65,O,MW 1:10PM-2:25PM,13:10,14:25
AHISW3617,Imperial Art and Architecture of Beijing,AHIS,,SAS,,001,16711,Jin Xu,9,10,O,R 4:10PM-6:00PM,16:10,18:00
AHISW3481,Contemporary Handicraft in England,AHIS,,SAS,,001,16710,Julia Bryan-Wilson,4,10,O,T 2:10PM-4:00PM,14:10,16:00
AHISW3444,REFLEXIVITY IN ART & FILM,AHIS,,SAS,,001,13774,Jonathan K Crary,11,12,O,T 4:10PM-6:00PM,16:10,18:00
AHISW2101,ATHENIAN ACROPOLIS-5/6CENT BCE,AHIS,,SAS,,001,17844,Ioannis Mylonopoulos,,65,O,MW 2:40PM-3:55PM,14:40,15:55
ENGLZ0719,PRONUNCIATION WORKSHOP,ENGL,,SPEC,,001,10904,,,10,O,TR 6:10PM-8:00PM,18:10,20:00
ENGLZ0012,AMER 12 PT PROG INTENSIVE,ENGL,,SPEC,,001,10900,,,14,O,,,
ENGLZ0012,AMER 12 PT PROG INTENSIVE,ENGL,,SPEC,,002,10901,,,14,O,,,
ENGLZ0012,AMER 12 PT PROG INTENSIVE,ENGL,,SPEC,,003,10902,,,14,O,,,
ENGLZ0012,AMER 12 PT PROG INTENSIVE,ENGL,,SPEC,,004,10903,,,14,O,,,
ENGLZ0006,ACADEMIC WRITING,ENGL,,SPEC,,001,10898,,,11,O,MWR 6:10PM-8:25PM,18:10,20:25
ENGLZ0006,ACADEMIC WRITING,ENGL,,SPEC,,002,10899,,,11,O,MWR 6:10PM-8:25PM,18:10,20:25
ENGLZ0005,ACADEMIC WRITING,ENGL,,SPEC,,001,10896,,,11,O,MTR 9:10AM-11:25AM,09:10,11:25
ENGLZ0005,ACADEMIC WRITING,ENGL,,SPEC,,002,10897,,,11,O,MTR 9:10AM-11:25AM,09:10,11:25
ENGLZ0003,LISTEN & SPEAK FOR INT'L STUDS,ENGL,,SPEC,,001,10895,,,14,O,MW 6:10PM-8:00PM,18:10,20:00
AMSTBC4984,Black Solidarities,AMST,,BCOL,,001,00835,Kimberly Springer,5,15,O,R 2:10PM-4:00PM,14:10,16:00
AMSTBC4697,Protect the Dolls: Trans Panics and Queer Liberation,AMST,,BCOL,,001,00997,Dani Joslyn,15,15,F,T 11:00AM-12:50PM,11:00,12:50
AMSTW4529,The Science of Sex,AMST,,BCOL,,001,00936,Dani Joslyn,16,16,F,W 11:00AM-12:50PM,11:00,12:50
AMSTBC4400,"Crime, Sex, Race and the Politics of Purity",AMST,,BCOL,,001,00771,Daria Reaven,16,16,F,R 10:10AM-12:00PM,10:10,12:00
AMSTBC4210,Du Bois Seminar,AMST,,BCOL,,001,00770,Manu Karuka,15,16,O,M 6:10PM-8:00PM,18:10,20:00
AMSTBC3704,SENIOR RESEARCH ESSAY SEMINAR,AMST,,BCOL,,002,00905,Dani Joslyn,4,8,O,T 2:10PM-4:00PM,14:10,16:00
AMSTBC3704,SENIOR RESEARCH ESSAY SEMINAR,AMST,,BCOL,,004,00769,Manu Karuka,6,8,O,T 2:10PM-4:00PM,14:10,16:00
AMSTBC1112,Elementary American Sign Language (ASL) II,AMST,,BCOL,,001,00893,Kailyn Aaron-Lozano,14,15,O,MWF 8:40AM-9:55AM,08:40,09:55
AMSTBC1112,Elementary American Sign Language (ASL) II,AMST,,BCOL,,002,00894,Kailyn Aaron-Lozano,15,15,F,MWF 10:10AM-11:25AM,10:10,11:25
AMSTBC1112,Elementary American Sign Language (ASL) II,AMST,,BCOL,,003,00895,Kailyn Aaron-Lozano,15,15,F,MWF 1:10PM-2:25PM,13:10,14:25
AMSTBC1011,WHAT IS AMERICAN STUDIES-DIS,AMST,,BCOL,,001,01063,,1,35,O,F 12:00PM-12:50PM,12:00,12:50
AMSTBC1001,WHAT IS AMERICAN STUDIES?,AMST,,BCOL,,003,00768,Lisa Jahn,35,35,F,MW 2:40PM-3:55PM,14:40,15:55
AMSTW3997,SUPERVISED INDIVIDUAL RESEARCH,AMST,,SAS,,001,17021,Jeremy Dauber,,18,O,R 4:10PM-6:00PM,16:10,18:00
AMSTW3996,SENIOR THESIS IN AMER STUDIES,AMST,,SAS,,001,12903,,2,6,O,,,
AMSTW3945,AMERICAN FILM GENRES,AMST,,SAS,,001,16933,Maura L Spiegel,19,18,F,M 4:10PM-6:00PM,16:10,18:00
AMSTW3944,American Business: A History,AMST,,SAS,,001,16086,Jeremy Dauber,,18,O,T 4:10PM-6:00PM,16:10,18:00
AMSTW3942,Ottoman Americana,AMST,,SAS,,001,16077,Tunc Sen,6,18,O,R 2:10PM-4:00PM,14:10,16:00
AMSTW3931,TOPICS IN AMERICAN STUDIES,AMST,,SAS,,001,12915,"Andrew Delbanco, Roger Lehecka",10,18,O,T 2:10PM-4:00PM,14:10,16:00
AMSTW3931,TOPICS IN AMERICAN STUDIES,AMST,,SAS,,002,12971,Jessica H Lee,,18,O,R 10:10AM-12:00PM,10:10,12:00
AMSTW3931,TOPICS IN AMERICAN STUDIES,AMST,,SAS,,004,13143,Randolph Jonakait,,18,O,W 4:10PM-6:00PM,16:10,18:00
AMSTW3920,SENIOR PROJECT COLLOQUIUM,AMST,,SAS,,001,16895,Jeremy Dauber,,15,O,W 12:10PM-2:00PM,12:10,14:00
AMSTW1010,INTRO TO AMERICAN STUDIES,AMST,,SAS,,001,11797,Jeremy Dauber,37,60,O,TR 8:40AM-9:55AM,08:40,09:55
ANESM7201,ANESTHESIOLOGY CLERKSHIP,ANES,,MD,,001,17838,"Stephanie Chen, Elena Quinonez",,99,O,,,
ANESM7201,ANESTHESIOLOGY CLERKSHIP,ANES,,MD,,002,17870,"Stephanie Chen, Elena Quinonez",,99,O,,,
ANESM7201,ANESTHESIOLOGY CLERKSHIP,ANES,,MD,,003,17871,"Stephanie Chen, Elena Quinonez",,99,O,,,
ANESM7201,ANESTHESIOLOGY CLERKSHIP,ANES,,MD,,004,17872,"Stephanie Chen, Elena Quinonez",,99,O,,,
ANESM7201,ANESTHESIOLOGY CLERKSHIP,ANES,,MD,,009,17884,"Stephanie Chen, Elena Quinonez",,99,O,,,
ANTHV3665,The Politics of Care,ANTH,,BCOL,,001,00414,Gina A Jae,16,16,F,T 12:10PM-2:00PM,12:10,14:00
ANTHW3663,The Ancient Table: Archaeology of Cooking and Cuisine,ANTH,,BCOL,,001,00674,Camilla Sturm,18,16,F,M 12:10PM-2:00PM,12:10,14:00
ANTHV3661,SOUTH ASIA,ANTH,,BCOL,,001,00411,Elizabeth M Green,,15,O,T 2:10PM-4:00PM,14:10,16:00
ANTHBC3243,"Sin, Disease, Subversion and the Experience of Race in Latin America",ANTH,,BCOL,,001,00892,,15,15,F,M 10:10AM-12:00PM,10:10,12:00
ANTHBC3234,Indigenous Place-Thought,ANTH,,BCOL,,001,00720,Severin Fowles,18,30,O,MW 8:40AM-9:55AM,08:40,09:55
ANTHBC3223,Gender Archaeolxgy,ANTH,,BCOL,,001,00412,Camilla Sturm,5,16,O,W 10:10AM-12:00PM,10:10,12:00
ANTHV3160,THE BODY AND SOCIETY,ANTH,,BCOL,,001,00413,Gina A Jae,16,16,F,W 10:10AM-12:00PM,10:10,12:00
ANTHBC2427,ANTHROPOLOGY OF CLIMATE CHANGE,ANTH,,BCOL,,001,00410,Paige West,38,213,O,MW 1:10PM-2:25PM,13:10,14:25
ANTHBC3932,CLIM CHNG/GLOBAL MIGR/HUM RGT,ANTH,,BCOL,,001,00518,Stephanie M Ratte,20,20,F,M 2:10PM-4:00PM,14:10,16:00
ANTHBC3872,SENIOR THESIS SEMINAR II,ANTH,,BCOL,,001,00409,"Elizabeth M Green, Gina A Jae, Nadia Abu El-Haj, Clare R Casey",24,30,O,M 2:10PM-4:00PM,14:10,16:00
ANTHV3828,THE ANTHROPOLOGY OF WAR,ANTH,,BCOL,,001,00670,Nadia Abu El-Haj,20,20,F,R 4:10PM-6:00PM,16:10,18:00
ANTHBC2012,LAB METHODS ARCHAEOLOGY,ANTH,,BCOL,,001,00672,Severin Fowles,14,14,F,T 4:10PM-6:00PM,16:10,18:00
ANTHV2101,THE ETHNOGRAPHIC IMAGINAT-DISC,ANTH,,SAS,,001,11482,,,25,O,,,
ANTHV2101,THE ETHNOGRAPHIC IMAGINAT-DISC,ANTH,,SAS,,002,11483,,,25,O,,,
ANTHV2101,THE ETHNOGRAPHIC IMAGINAT-DISC,ANTH,,SAS,,003,11484,,,25,O,,,
ANTHW2028,THINK LIKE AN ARCHAEOLOGIST,ANTH,,SAS,,001,10502,Hannah Chazin,61,90,O,MW 10:10AM-11:25AM,10:10,11:25
ANTHV2005,THE ETHNOGRAPHIC IMAGINATION,ANTH,,SAS,,001,11324,Maria Jose De Abreu,18,60,O,TR 2:40PM-3:55PM,14:40,15:55
ANTHW2000,POLITICAL ANTHROPOLOGY,ANTH,,SAS,,001,16259,Rosalind Morris,23,100,O,TR 10:10AM-11:25AM,10:10,11:25
ANTHV1108,THE RISE OF CIVILIZATION-DISC,ANTH,,SAS,,001,16240,,,30,O,,,
ANTHV1108,THE RISE OF CIVILIZATION-DISC,ANTH,,SAS,,002,16245,,,30,O,,,
ANTHV1108,THE RISE OF CIVILIZATION-DISC,ANTH,,SAS,,003,16246,,,30,O,,,
ANTHV1108,THE RISE OF CIVILIZATION-DISC,ANTH,,SAS,,004,16250,,,30,O,,,
ANTHG9999,WEDNESDAY SEMINAR,ANTH,,SAS,,001,10463,Zoe Crossland,1,30,O,W 2:10PM-4:00PM,14:10,16:00
ANTHG9111,MUSEUM ANTHROPOL INTERNSHIP II,ANTH,,SAS,,001,11328,Brian Boyd,6,13,O,,,
ANTHG9110,MUSEUM ANTHROPOL INTERNSHIP I,ANTH,,SAS,,001,11327,Brian Boyd,6,13,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,001,11347,Hannah Chazin,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,002,11348,Lila Abu-Lughod,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,003,11349,Vanessa L Agard-Jones,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,004,11350,Naor H Ben-Yehoyada,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,005,11351,Maria Jose De Abreu,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,006,11366,Madisson Whitman,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,007,11352,Severin Fowles,,5,O,,,
ANTHG9105,RESEARCH IN SPECIAL FIELDS,ANTH,,SAS,,008,11353,Elizabeth M Green,,5,O,,,
