course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,006,20294,Brian T Smith,1,2,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,007,20296,Bekka Brodie,3,5,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,008,20298,Matthew I Palmer,1,4,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,009,20366,Marina Cords,1,3,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,010,20369,Deren Eaton,1,3,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,011,20500,Maria Diuk-Wasser,1,4,O,,,
EEEBG9501,DIRECTED RESEARCH,EEEB,,SAS,,012,20503,Dustin Rubenstein,1,2,O,,,
EEEBG6850,THESIS DEVELOPMENT,EEEB,,SAS,,001,13655,Maria Uriarte,3,10,O,M 2:10PM-4:00PM,14:10,16:00
EEEBG6600,Grant Writing for E3B Students,EEEB,,SAS,,001,16558,Kira Delmore,16,17,O,M 10:10AM-12:00PM,10:10,12:00
EEEBG6300,RESEARCH SEMINAR,EEEB,,SAS,,001,13654,Maria Diuk-Wasser,41,60,O,T 4:00PM-5:00PM,16:00,17:00
EEEBG6300,RESEARCH SEMINAR,EEEB,,SAS,,001,13654,Maria Diuk-Wasser,41,60,O,R 2:30PM-3:30PM,14:30,15:30
EEEBG6250,Field Methods in Wildlife Monitoring,EEEB,,SAS,,001,13653,Wai-Ming Wong,6,10,O,F 2:10PM-4:00PM,14:10,16:00
EEEBG6220,Science Education Theory to Practice,EEEB,,SAS,,001,13651,Lisa M Kozlowski,6,12,O,R 4:10PM-6:00PM,16:10,18:00
EEEBG6150,"Advances in Ecology, Evolution, and Environmental Biology",EEEB,,SAS,,001,18416,Maria Uriarte,5,10,O,M 12:10PM-2:00PM,12:10,14:00
EEEBG6135,Global Health at the Human-Wildlife Interface,EEEB,,SAS,,001,13650,Maria Diuk-Wasser,3,15,O,R 12:10PM-2:00PM,12:10,14:00
EEEBG6112,FUNDAMENTALS OF ECOLOGY,EEEB,,SAS,,001,13649,"Duncan Menge, Maria Diuk-Wasser",19,30,O,TR 10:10AM-11:25AM,10:10,11:25
EEEBG6010,Biodiversity Data Analysis I,EEEB,,SAS,,001,15673,Viorel Popescu,11,20,O,W 10:10AM-12:00PM,10:10,12:00
EEEBW1110,HUMAN ORIGINS & EVOLUTION-DISC,EEEB,,SAS,,001,13627,Jill S Shapiro,23,30,O,R 5:10PM-6:00PM,17:10,18:00
EEEBW1110,HUMAN ORIGINS & EVOLUTION-DISC,EEEB,,SAS,,002,13628,Jill S Shapiro,9,30,O,R 6:10PM-7:00PM,18:10,19:00
EEEBG5850,THESIS DEVELOPMENT SEMINAR,EEEB,,SAS,,001,13648,Bekka Brodie,13,30,O,W 2:10PM-4:00PM,14:10,16:00
EEEBG5015,INTRO-STAT-ECOLGY/EVOL BIO-LAB,EEEB,,SAS,,001,13635,Steffen Foerster,12,15,O,T 6:10PM-7:25PM,18:10,19:25
EEEBG5015,INTRO-STAT-ECOLGY/EVOL BIO-LAB,EEEB,,SAS,,002,13636,Steffen Foerster,5,15,O,W 6:10PM-7:25PM,18:10,19:25
EEEBG5005,INTRO-STAT-ECOLOGY & EVOL BIOL,EEEB,,SAS,,001,13632,Steffen Foerster,17,30,O,M 6:10PM-8:00PM,18:10,20:00
EEEBW4910,FIELD BOTANY/PLANT SYSTEMATICS,EEEB,,SAS,,001,13647,Matthew I Palmer,16,15,F,W 11:40AM-12:55PM,11:40,12:55
EEEBW4910,FIELD BOTANY/PLANT SYSTEMATICS,EEEB,,SAS,,001,13647,Matthew I Palmer,16,15,F,F 9:00AM-1:00PM,09:00,13:00
EEEBW4666,INSECT DIVERSITY,EEEB,,SAS,,001,13646,Bekka Brodie,6,30,O,T 2:00PM-3:50PM,14:00,15:50
EEEBW4666,INSECT DIVERSITY,EEEB,,SAS,,001,13646,Bekka Brodie,6,30,O,W 5:00PM-8:00PM,17:00,20:00
EEEBG4200,Introduction to Mammalogy,EEEB,,SAS,,001,13645,Scott Lapoint,8,12,O,R 6:10PM-8:00PM,18:10,20:00
EEEBW4111,ECOSYSTM ECOLOGY & GLOBAL CHNG,EEEB,,SAS,,001,13644,Duncan Menge,17,25,O,TR 11:40AM-12:55PM,11:40,12:55
EEEBW4065,Tropical Biology,EEEB,,SAS,,001,13643,Dustin Rubenstein,13,14,O,,,
EEEBW3997,INDEPENDENT STUDY,EEEB,,SAS,,001,13642,Jill S Shapiro,1,6,O,,,
EEEBW3997,INDEPENDENT STUDY,EEEB,,SAS,,002,20127,Marina Cords,1,3,O,,,
EEEBW3997,INDEPENDENT STUDY,EEEB,,SAS,,003,20143,Andres Bendesky,1,3,O,,,
EEEBW3993,EBHS SENIOR THESIS SEMINAR,EEEB,,SAS,,001,13641,Jill S Shapiro,2,6,O,M 4:10PM-6:00PM,16:10,18:00
